Afghanistan 4 360 257 215 165 22474 1078 277 250 43 36 24 - -
Albania 98 151 30 112 26 3145 59 2 1230 73 - 90 - -
Algeria 75 280 49 164 39 30841 750 37 1630 70 63 97 19 43
Andorra 161 - 7 - 6 90 1 0 9206 - - - - -
Angola 3 345 260 208 154 13527 697 181 500 45 - 64 - -
Antigua_and_Barbuda 144 - 14 - 12 65 1 0 9070 - 82 98 - -
Argentina 130 72 19 60 16 37488 724 14 6960 74 97 100 - -
Armenia 93 - 35 - 31 3788 36 1 560 73 99 - 15 51
Australia 164 24 6 20 6 19338 249 1 19770 79 - 95 18 41
Austria 178 43 5 37 5 8075 71 0 23940 78 - 91 20 38
Azerbaijan 48 - 105 - 74 8096 107 11 650 72 97 91 18 43
Bahamas 138 68 16 51 13 308 6 0 14960 69 96 88 - -
Bahrain 138 160 16 110 13 652 11 0 9370 74 88 84 - -
Bangladesh 58 248 77 149 51 140369 4284 330 370 60 41 79 21 43
Barbados 144 90 14 74 12 268 3 0 9250 77 98 90 - -
Belarus 125 47 20 37 17 10147 91 2 1190 69 99 85 27 33
Belgium 164 35 6 31 5 10264 102 1 23340 79 - 100 22 37
Belize 84 104 40 74 34 231 6 0 2910 74 80 100 - -
Benin 24 296 158 176 94 6446 269 43 360 54 37 70 - -
Bhutan 52 300 95 175 74 2141 75 7 640 62 47 53 - -
Bolivia 58 255 77 152 60 8516 267 21 940 63 86 91 13 49
Bosnia_and_Herzegovina 136 160 18 105 15 4067 39 1 1240 74 93 98 - -
Botswana 42 173 110 118 80 1554 49 5 3630 39 77 84 - -
Brazil 92 177 36 115 31 172559 3363 121 3060 68 85 97 8 64
Brunei_Darussalam 164 87 6 63 6 335 7 0 24630 76 92 91 - -
Bulgaria 138 70 16 49 14 7867 62 1 1560 71 99 95 24 37
Burkina_Faso 12 315 197 181 104 11856 558 110 210 47 23 35 12 60
Burundi 14 250 190 148 114 6502 284 54 100 41 48 47 15 48
Cambodia 30 - 138 - 97 13441 479 66 270 56 68 65 18 48
Cameroon 25 255 155 151 96 15203 558 86 570 50 75 74 13 53
Canada 161 33 7 28 5 31015 342 2 21340 79 - 99 20 39
Cape_Verde 88 - 38 - 29 437 13 0 1310 70 73 99 - -
Centrafrique 19 327 180 187 115 3782 144 26 270 44 46 43 7 65
Chad 11 - 200 - 117 8135 396 79 200 46 54 39 - -
Chile 147 155 12 118 10 15402 287 3 4350 75 96 89 10 61
China 85 225 39 150 31 1284972 18841 735 890 71 85 93 16 47
Colombia 118 125 23 79 19 42803 979 23 1910 71 92 90 10 61
Comoros 57 265 79 200 59 727 28 2 380 60 74 34 - -
Congo 45 220 108 143 81 3110 139 15 700 51 81 96 - -
Congo_DR 9 302 205 174 129 52522 2507 514 100 52 67 51 - -
Cook_Islands 118 - 23 - 19 20 0 0 - - - 98 - -
Costa_Rica 149 123 11 87 9 4112 92 1 3950 77 96 91 13 51
Cote_d'Ivoire 20 290 175 195 102 16349 581 102 630 48 47 57 18 44
Croatia 158 98 8 70 7 4655 54 0 4650 74 98 72 22 38
Cuba 152 54 9 39 7 11237 134 1 1170 76 96 99 - -
Cyprus 164 36 6 30 5 790 11 0 12370 78 97 81 - -
Czech_Republic 178 25 5 22 4 10260 90 0 5270 75 - 90 25 36
Denmark 189 25 4 22 4 5333 61 0 31090 76 - 99 25 35
Djibouti 28 289 143 186 100 644 25 4 890 42 51 31 - -
